ISO Week of Data monitoraggio,Measure Names,Avg. grado_giorno_cum,Measure Values
W21,Avg. Catture Giovani II - III (small),187.178190648,0.012987013
W22,Avg. Catture Giovani II - III (small),238.152979241,0.079069767
W23,Avg. Catture Giovani II - III (small),301.727071263,0.622135311
W24,Avg. Catture Giovani II - III (small),369.336988354,1.768523829
W25,Avg. Catture Giovani II - III (small),455.351555673,5.862412892
W26,Avg. Catture Giovani II - III (small),548.635426315,7.559641805
W27,Avg. Catture Giovani II - III (small),638.540788860,6.824733898
W28,Avg. Catture Giovani II - III (small),721.004448108,5.534349984
W29,Avg. Catture Giovani II - III (small),807.152875678,4.955541420
W30,Avg. Catture Giovani II - III (small),905.733256566,5.554413033
W31,Avg. Catture Giovani II - III (small),996.919129932,6.523004016
W32,Avg. Catture Giovani II - III (small),1086.720370011,7.830312413
W33,Avg. Catture Giovani II - III (small),1183.347280036,12.631944818
W34,Avg. Catture Giovani II - III (small),1261.980215883,15.004649141
W35,Avg. Catture Giovani II - III (small),1333.138967016,14.098634021
W36,Avg. Catture Giovani II - III (small),1396.904419468,10.309805331
W37,Avg. Catture Giovani II - III (small),1467.695837450,8.072160912
W38,Avg. Catture Giovani II - III (small),1525.759429452,2.829332971
W39,Avg. Catture Giovani II - III (small),1572.599217590,0.436443918
W40,Avg. Catture Giovani II - III (small),1604.114560195,0.195767196
W41,Avg. Catture Giovani II - III (small),1627.734829414,0.058495822
W42,Avg. Catture Giovani II - III (small),1625.747321509,0
W10,Avg. Catture Adulti,0.276624883,0
W11,Avg. Catture Adulti,0.571430412,0.028070175
W12,Avg. Catture Adulti,0.589924515,0.056564667
W13,Avg. Catture Adulti,7.507002045,0.608523887
W14,Avg. Catture Adulti,13.050228840,0.729086901
W15,Avg. Catture Adulti,15.407460022,0.347953216
W16,Avg. Catture Adulti,17.672202640,0.920569057
W17,Avg. Catture Adulti,29.385541503,2.262593467
W18,Avg. Catture Adulti,53.205677005,3.919053248
W19,Avg. Catture Adulti,87.257226496,4.323264337
W20,Avg. Catture Adulti,133.904504879,5.041111207
W21,Avg. Catture Adulti,187.178190648,4.874512051
W22,Avg. Catture Adulti,238.152979241,3.733963388
W23,Avg. Catture Adulti,301.727071263,3.554856938
W24,Avg. Catture Adulti,369.336988354,2.464550872
W25,Avg. Catture Adulti,455.351555673,2.281332386
W26,Avg. Catture Adulti,548.635426315,1.976760712
W27,Avg. Catture Adulti,638.540788860,1.989149046
W28,Avg. Catture Adulti,721.004448108,2.703963313
W29,Avg. Catture Adulti,807.152875678,3.873512599
W30,Avg. Catture Adulti,905.733256566,6.691184789
W31,Avg. Catture Adulti,996.919129932,7.734650713
W32,Avg. Catture Adulti,1086.720370011,8.498354404
W33,Avg. Catture Adulti,1183.347280036,8.341544145
W34,Avg. Catture Adulti,1261.980215883,10.093508080
W35,Avg. Catture Adulti,1333.138967016,8.558626192
W36,Avg. Catture Adulti,1396.904419468,11.798784142
W37,Avg. Catture Adulti,1467.695837450,19.761039739
W38,Avg. Catture Adulti,1525.759429452,28.325675207
W39,Avg. Catture Adulti,1572.599217590,31.031253322
W40,Avg. Catture Adulti,1604.114560195,31.514577835
W41,Avg. Catture Adulti,1627.734829414,25.807359596
W42,Avg. Catture Adulti,1625.747321509,25.020059304
